filename,label
flickr_cat_000002.png,tabby
flickr_cat_000003.png,tabby
flickr_cat_000004.png,tabby
flickr_cat_000005.png,tabby
flickr_cat_000006.png,tabby
flickr_cat_000007.png,tabby
flickr_cat_000009.png,tabby
flickr_cat_000010.png,tabby
flickr_cat_000012.png,tabby
flickr_cat_000014.png,tabby
flickr_cat_000015.png,tabby
flickr_cat_000017.png,tabby
flickr_cat_000018.png,Egyptian cat
flickr_cat_000019.png,Egyptian cat
flickr_cat_000020.png,Egyptian cat
flickr_cat_000021.png,tabby
flickr_cat_000022.png,Persian cat
flickr_cat_000023.png,Egyptian cat
flickr_cat_000024.png,Egyptian cat
flickr_cat_000025.png,Angora
flickr_cat_000026.png,tabby
flickr_cat_000028.png,Egyptian cat
flickr_cat_000029.png,tabby
flickr_cat_000030.png,tabby
flickr_cat_000031.png,tabby
flickr_cat_000032.png,Egyptian cat
flickr_cat_000033.png,tabby
flickr_cat_000034.png,Egyptian cat
flickr_cat_000035.png,Egyptian cat
flickr_cat_000036.png,tabby
flickr_cat_000037.png,tiger cat
flickr_cat_000038.png,tabby
flickr_cat_000039.png,tiger cat
flickr_cat_000040.png,Egyptian cat
flickr_cat_000041.png,tiger cat
flickr_cat_000042.png,Egyptian cat
flickr_cat_000043.png,tabby
flickr_cat_000044.png,tabby
flickr_cat_000045.png,tub
flickr_cat_000046.png,tabby
flickr_cat_000047.png,tiger cat
flickr_cat_000048.png,tabby
flickr_cat_000049.png,tiger cat
flickr_cat_000050.png,tabby
flickr_cat_000051.png,tiger cat
flickr_cat_000052.png,tabby
flickr_cat_000053.png,tabby
flickr_cat_000055.png,tabby
flickr_cat_000057.png,lens cap
flickr_cat_000058.png,tiger cat
flickr_cat_000059.png,tiger cat
flickr_cat_000060.png,tabby
flickr_cat_000061.png,tabby
flickr_cat_000062.png,tabby
flickr_cat_000063.png,tabby
flickr_cat_000064.png,tabby
flickr_cat_000065.png,Siamese cat
flickr_cat_000066.png,Siamese cat
flickr_cat_000067.png,Egyptian cat
flickr_cat_000068.png,Egyptian cat
flickr_cat_000069.png,tiger cat
flickr_cat_000070.png,Egyptian cat
flickr_cat_000071.png,plastic bag
flickr_cat_000072.png,tabby
flickr_cat_000073.png,tabby
flickr_cat_000074.png,tabby
flickr_cat_000075.png,tiger cat
flickr_cat_000077.png,tabby
flickr_cat_000078.png,tabby
flickr_cat_000079.png,tabby
flickr_cat_000081.png,tabby
flickr_cat_000082.png,tabby
flickr_cat_000083.png,Egyptian cat
flickr_cat_000084.png,Egyptian cat
flickr_cat_000085.png,tabby
flickr_cat_000086.png,Egyptian cat
flickr_cat_000087.png,tabby
flickr_cat_000088.png,Egyptian cat
flickr_cat_000089.png,Egyptian cat
flickr_cat_000090.png,tabby
flickr_cat_000091.png,tabby
flickr_cat_000092.png,plastic bag
flickr_cat_000093.png,plastic bag
flickr_cat_000094.png,Persian cat
flickr_cat_000095.png,Egyptian cat
flickr_cat_000097.png,tabby
flickr_cat_000098.png,tabby
flickr_cat_000099.png,Angora
flickr_cat_000100.png,lynx
flickr_cat_000101.png,Egyptian cat
flickr_cat_000102.png,tabby
flickr_cat_000103.png,Egyptian cat
flickr_cat_000104.png,tabby
flickr_cat_000105.png,tabby
flickr_cat_000106.png,tabby
flickr_cat_000107.png,tiger cat
flickr_cat_000109.png,Persian cat
flickr_cat_000110.png,Egyptian cat
flickr_cat_000111.png,tiger cat
flickr_cat_000112.png,Egyptian cat
flickr_cat_000113.png,Egyptian cat
flickr_cat_000114.png,tabby
flickr_cat_000115.png,tabby
flickr_cat_000116.png,Egyptian cat
flickr_cat_000117.png,tabby
flickr_cat_000118.png,tiger cat
flickr_cat_000119.png,Egyptian cat
flickr_cat_000120.png,tabby
flickr_cat_000121.png,tiger cat
flickr_cat_000122.png,Egyptian cat
